sample_name,ID
KC904098,sp2
KC904099,sp1
KC904100,sp1
KC904101,sp1
KC904102,sp1
KC904103,sp2
KC904104,sp2
KC904105,sp2
KC904106,sp2
KC904107,sp2
KC904108,sp2
KC904109,sp2
KC904110,sp2
KC904111,sp2
KC904112,sp2
KC904113,sp2
KC904114,sp2
KC904115,sp2
KC904116,sp2
KC904117,sp2
KC904118,sp2
KC904119,sp3
KC904120,sp3
KC904121,sp3
KC904122,sp3
KC904123,sp3
KC904124,sp3
KC904125,sp3
KC904126,sp3
KC904127,sp3
KC904128,sp3
KC904129,sp3
KC904130,sp3
KC904131,sp3
KC904132,sp3
KC904133,sp3
KC904134,sp3
KC904135,sp3
KC904136,sp3
KC904137,sp3
KC904138,sp3
KC904139,sp3
KC904140,sp4
KC904141,sp4
KC904142,sp4
KC904143,sp4
KC904144,sp4
KC904145,sp4
KC904146,sp4
KC904147,sp4
KC904148,sp4
KC904149,sp4
KC904150,sp4
KC904151,sp4
KC904152,sp4
KC904153,sp4
KC904154,sp4
KC904155,sp4
KC904156,sp4
KC904157,sp4
KC904158,sp4
KC904159,sp4
KC904160,sp4
KC904161,sp4
KC904162,sp4
KC904163,sp4
KC904164,sp4
KC904165,sp4
KC904166,sp4
KC904167,sp4
KC904168,sp4
KC904169,sp4
KC904170,sp4
KC904171,sp4
KC904172,sp4
KC904173,sp4
KC904174,sp4
KC904175,sp4
KC904176,sp4
KC904177,sp4
KC904178,sp4
KC904179,sp4
KC904180,sp4
KC904181,sp4
KC904182,sp4
KC904183,sp4
KC904184,sp4
KC904185,sp4
KC904186,sp4
KC904187,sp4
KC904188,sp4
KC904189,sp5
KC904190,sp5
KC904191,sp5
KC904192,sp5
KC904193,sp5
KC904194,sp5
KC904195,sp5
KC904196,sp5
KC904197,sp5
KC904198,sp5
KC904199,sp5
KC904200,sp5
KC904201,sp5
KC904202,sp5
KC904203,sp5
KC904204,sp5
KC904205,sp5
KC904206,sp5
KC904207,sp5
