,Adonax,Cdactylon,Ecurvula,Egummiflua,Elehm,Eplana,Esuperba,Etef,Etrichophora,Eupaspal,Hhirta,Spyramidalis,golden_shoulder,EC,FS,KZN,MP
MN133285_1_Sycophila_flava,0,,0,0,0,0,,0,0,,0,0,,,,,
MN133288_1_Sycophila_foliatae_,0,,0,0,0,0,,0,0,,0,0,,,,,
MN133296_1_Sycophila_marylandica ,0,,0,0,0,0,,0,0,,0,0,,,,,
KCP_2020_00037,0,,1,0,0,0,,0,0,,0,0,0,,1,,
GFS_2020_614,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_562,0,,1,0,0,0,,0,0,,0,0,0,1,,,
KCP_2020_00012,0,,1,0,0,0,,0,0,,0,0,1,,1,,
KCP_2020_00019,0,,1,0,0,0,,0,0,,0,0,1,,1,,
KCP_2020_00032,0,,1,0,0,0,,0,0,,0,0,1,,1,,
KCP_2020_00033,0,,1,0,0,0,,0,0,,0,0,0,,1,,
KCP_2020_00036,0,,1,0,0,0,,0,0,,0,0,1,,1,,
KCP_2020_00039,0,,1,0,0,0,,0,0,,0,0,0,,1,,
KCP_2020_00040,0,,0,0,0,1,,0,0,,0,0,0,,1,,
KCP_2020_00041,0,,1,0,0,0,,0,0,,0,0,0,,1,,
KCP_2020_00044,0,,1,0,0,0,,0,0,,0,0,1,,1,,
KCP_2020_00045,0,,1,0,0,0,,0,0,,0,0,1,,1,,
KCP_2020_00047,0,,0,0,0,1,,0,0,,0,0,0,,1,,
KCP_2020_00048,0,,1,0,0,0,,0,0,,0,0,1,,1,,
KCP_2020_00052,0,,1,0,0,0,,0,0,,0,0,1,,1,,
KCP_2020_00054,0,,0,0,0,1,,0,0,,0,0,0,,1,,
KCP_2020_00055,0,,1,0,0,0,,0,0,,0,0,1,,1,,
KCP_2020_00056,0,,0,0,0,1,,0,0,,0,0,0,,1,,
KCP_2020_00061,0,,1,0,0,0,,0,0,,0,0,1,,1,,
KCP_2020_00062,0,,1,0,0,0,,0,0,,0,0,1,,1,,
KCP_2020_00063,0,,0,0,0,1,,0,0,,0,0,0,,1,,
GFS_2019_79,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_132,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2020_196,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2020_528,0,,0,0,0,0,,0,0,,1,0,0,1,,,
GFS_2020_554,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_555,0,,0,0,0,0,,0,0,,1,0,0,1,,,
GFS_2020_574,0,,0,0,0,0,,0,0,,1,0,0,1,,,
GFS_2020_638,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2020_645,0,,0,0,0,0,,0,0,,1,0,0,1,,,
GFS_2020_720,0,,0,0,0,0,,0,0,,1,0,0,1,,,
SPY_KZN_62,0,,0,0,0,0,,0,0,,0,1,0,,,1,
GFS_2020_87,0,,1,0,0,0,,0,0,,0,0,1,1,,,
SPY_KZN_89,0,,0,0,0,0,,0,0,,0,1,,,,1,
SPY_KZN_94,0,,0,0,0,0,,0,0,,0,1,,,,1,
GFS_2020_102,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_184,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_233,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_43,0,,0,0,0,0,,0,0,,0,1,1,1,,,
GFS_2020_492,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_563,0,,0,0,0,0,,0,0,,1,0,0,1,,,
GFS_2020_576,0,,0,0,0,0,,0,0,,1,0,0,1,,,
GFS_2020_595,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2020_606,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2020_626,0,,0,0,0,0,,0,0,,1,0,0,1,,,
GFS_2020_62,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2020_670,0,,0,0,0,0,,0,0,,1,0,0,1,,,
GFS_2020_680,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_702,0,,0,0,0,0,,0,0,,1,0,0,1,,,
SPY_KZN_58,0,,0,0,0,0,,0,0,,0,1,0,,,1,
SPY_KZN_68,0,,0,0,0,0,,0,0,,0,1,1,,,1,
GFS_2019_00019,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2019_00030,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2019_00035,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2019_00039,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2019_00041,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2019_00043,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2019_00063,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2019_00069,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_00003,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_00015,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_00053,0,,0,0,0,0,,0,0,,0,1,1,1,,,
GFS_2020_00054,0,,1,0,0,0,,0,0,,0,0,,1,,,
GFS_2020_00055,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_00079,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2020_00083,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2020_00085,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2020_00091,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_00111,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2020_00116,0,,0,0,0,0,,0,0,,0,1,1,1,,,
GFS_2020_00120,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2020_00130,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2020_00152,0,,0,0,0,0,,0,0,,0,1,1,1,,,
GFS_2020_00155,0,,1,0,0,0,,0,0,,0,0,1,1,,,
SPY_KZN_006,0,,0,0,0,0,,0,0,,0,1,,,,1,
SPY_KZN_060,0,,0,0,0,0,,0,0,,0,1,1,,,1,
SPY_KZN_064,0,,0,0,0,0,,0,0,,0,1,1,,,1,
SPY_KZN_071,0,,0,0,0,0,,0,0,,0,1,0,,,1,
SPY_LMP_032,0,,0,0,0,0,,0,0,,0,1,1,,,1,
SPY_MPA_095,0,,0,0,0,0,,0,0,,0,1,,,,,1
KCP_2021_00075,0,,0,0,0,0,,1,0,,0,0,0,,1,,
KCP_2021_00076,0,,0,0,0,0,,1,0,,0,0,0,,1,,
KCP_2021_00077,0,,0,0,0,0,,1,0,,0,0,0,,1,,
KCP_2021_00079,0,,0,0,0,0,,1,0,,0,0,0,,1,,
KCP_2021_00085,0,,0,1,0,0,,0,0,,0,0,0,,1,,
KCP_2021_00089,0,,0,1,0,0,,0,0,,0,0,0,,1,,
KCP_2021_00090,0,,0,1,0,0,,0,0,,0,0,0,,1,,
KCP_2021_00092,0,,0,1,0,0,,0,0,,0,0,1,,1,,
KCP_2021_00096,0,,0,0,1,0,,0,0,,0,0,0,,1,,
KCP_2021_00140,0,,0,1,0,0,,0,0,,0,0,0,,1,,
KCP_2011_00169,1,,0,0,0,0,,0,0,,0,0,1,,1,,
KCP_2012_00170,1,,0,0,0,0,,0,0,,0,0,1,,1,,
KCP_2012_00171,1,,0,0,0,0,,0,0,,0,0,1,,1,,
KCP_2012_00172,1,,0,0,0,0,,0,0,,0,0,1,,1,,
KCP_2011_00173,1,,0,0,0,0,,0,0,,0,0,1,,1,,
GFS_2021_00245,0,,1,0,0,0,,0,0,,0,0,,1,,,
GFS_2021_00255,0,,1,0,0,0,,0,0,,0,0,,1,,,
GFS_2021_00307,0,,1,0,0,0,,0,0,,0,0,,1,,,
GFS_2021_00334,0,,1,0,0,0,,0,0,,0,0,,1,,,
GFS_2021_00354,0,,1,0,0,0,,0,0,,0,0,1,1,,,
GFS_2021_00373,0,,1,0,0,0,,0,0,,0,0,,1,,,
GFS_2021_00374,0,,1,0,0,0,,0,0,,0,0,0,1,,,
GFS_2021_00411,0,,1,0,0,0,,0,0,,0,0,,1,,,
GFS_2021_00726,0,,0,0,0,0,,0,1,,0,0,0,,,1,
GFS_2021_00730,0,,0,0,0,0,,0,1,,0,0,1,,,1,
GFS_2021_00741,0,1,0,0,0,0,,0,0,,0,0,0,,,1,
GFS_2021_00745,0,,0,0,0,0,,0,1,,0,0,1,,,1,
GFS_2021_00746,0,,0,0,0,0,1,0,0,,0,0,0,,,1,
GFS_2021_00749,0,,0,0,0,0,,0,1,,0,0,0,,,1,
GFS_2021_00750,0,,0,0,0,0,,0,1,,0,0,1,,,1,
GFS_2021_00762,0,1,0,0,0,0,,0,0,,0,0,1,,,1,
GFS_2021_00770,0,,0,0,0,0,,0,1,,0,0,0,,,1,
GFS_2021_00773,0,,0,0,0,0,,0,1,,0,0,1,,,1,
GFS_2021_00786,0,,0,0,0,0,1,0,0,,0,0,0,,,1,
GFS_2021_00803,0,,0,0,0,0,1,0,0,,0,0,0,,,1,
GFS_2021_00806,0,,0,0,0,0,,0,1,,0,0,0,,,1,
GFS_2021_00810,0,,0,0,0,0,,0,1,,0,0,1,,,1,
GFS_2021_00826,0,,0,0,0,0,1,0,0,,0,0,0,,,1,
GFS_2021_00846,0,,0,0,0,0,,0,1,,0,0,1,,,1,
GFS_2021_00853,0,,0,0,0,0,1,0,0,,0,0,0,,,1,
GFS_2021_00883,0,,0,0,0,0,,0,1,,0,0,1,,,1,
GFS_2021_00886,0,1,0,0,0,0,,0,0,,0,0,0,,,1,
GFS_2021_00887,0,,0,0,0,0,1,0,0,,0,0,1,,,1,
GFS_2021_00894,0,1,0,0,0,0,,0,0,,0,0,0,,,1,
GFS_2021_00901,0,,0,0,0,0,,0,0,1,0,0,1,,,1,
GFS_2021_00902,0,,0,0,0,0,,0,1,,0,0,1,,,1,
GFS_2021_00918,0,,0,0,0,0,,0,1,,0,0,1,,,1,
